"SR_LN.R0.","TOTAL","Recruitment","Length_comp","Survey","SR_LN.R0..1","model","Label","ALL","S1_JPN_WCNPO_OSDWLL_early_Area1","S2_JPN_WCNPO_OSDWCOLL_late_Area1","S3_JPN_WCNPO_OSDWLL_early_Area2","S4_JPN_WCNPO_OSDWLL_late_Area2","S5_TWN_WCNPO_DWLL_late","S6_US_WCNPO_LL_deep","S8_US_WCNPO_LL_shallow_late","SR_LN.R0..2","model.1","Label.1","ALL.1","F9_US_WCNPO_LL_deep","SR_LN.R0..3","model.2","Label.2","ALL.2","F1_JPN_WCNPO_OSDWCOLL_late_Area1","F2_TWN_WCNPO_DWLL_late","F3_US_WCNPO_LL_shallow_late","F4_IATTC","F6_JPN_WCNPO_OSDWLL_early_Area1","F7_JPN_WCNPO_CODF","F8_US_WCNPO_LL_shallow_early","F9_US_WCNPO_LL_deep.1"
6.5,71.5699999999999,32.0947,25.0900000000001,14.284,6.5,2,"Surv_like",14.284,5.101,2.9552,0.682299999999998,1.312,2.9321,4.6069,0,6.5,2,"Catch_like",0.20619202,0.206192023,6.5,2,"Length_like",25.0900000000001,0.271999999999991,11.5395,0.0104999999999933,2.2669,3.7812,2.36985,2.4659,6.34999999999991
6.6,36.4100000000001,12.1054,16.52,7.61100000000002,6.6,3,"Surv_like",7.61100000000002,1.8282,2.1863,0.152099999999997,1.0885,2.4098,2.7738,0.5016,6.6,3,"Catch_like",0.28387802,0.283878023,6.6,3,"Length_like",16.52,0.0254999999999939,9.15700000000001,0,1.94325,0.909700000000001,1.81489999999999,1.7687,4.86500000000001
6.7,13.29,2.6101,8.15000000000009,2.245,6.7,4,"Surv_like",2.245,0.549800000000001,0.798400000000001,0,0.703000000000003,1.3584,0.477700000000006,1.7247,6.7,4,"Catch_like",0.39457002,0.394570023,6.7,4,"Length_like",8.15000000000009,0.0405000000000086,5.0595,0.0854999999999961,1.5429,0.0694499999999998,1.2911,1.22145,2.80999999999995
6.8,3.26999999999998,0.6387,1.88000000000011,0.719999999999999,6.8,5,"Surv_like",0.719999999999999,0.0919999999999987,0.264699999999998,0.3553,0.562800000000003,0.6227,0,2.2066,6.8,5,"Catch_like",0.15863502,0.158634023,6.8,5,"Length_like",1.88000000000011,0,1.32650000000001,0.563999999999993,1.2824,0,1.09979999999999,0.858600000000003,0.714999999999918
6.9,0.25,0.0767999999999986,0.0800000000001546,0.117000000000019,6.9,6,"Surv_like",0.117000000000019,0.00250000000000128,0,0.548499999999997,0.418800000000005,0.115400000000001,0.126300000000001,2.2991,6.9,6,"Catch_like",0.09251252,0.092512423,6.9,6,"Length_like",0.0800000000001546,0.225999999999999,0,0.875500000000002,1.1654,0.103200000000001,0.983899999999998,0.614000000000004,0.084999999999809
6.95614,0,0.0332000000000008,0,0.0800000000000125,6.95614,1,"Surv_like",0.0800000000000125,0,0.200699999999998,0.577099999999998,0.361000000000004,0.0494000000000003,0.3003,1.9894,6.95614,1,"Catch_like",0.00989892,0.009898923,6.95614,1,"Length_like",0,0.108000000000004,0.126000000000005,1.09349999999999,1.09325,0.148050000000001,0.895899999999997,0.505600000000001,0
7,0.149999999999864,0,0.2800000000002,0,7,7,"Surv_like",0,0.00600000000000023,0.218599999999995,0.586799999999997,0.315000000000005,0,0.372900000000001,1.9015,7,7,"Catch_like",0.00166591,0.001665903,7,7,"Length_like",0.2800000000002,0.182000000000016,0.317999999999998,1.17,1.03035,0.175000000000001,0.8294,0.431450000000005,0.1099999999999
7.1,0.869999999999891,0.0472000000000001,0.880000000000109,0.0640000000000214,7.1,8,"Surv_like",0.0640000000000214,0.0408000000000008,0.3322,0.566199999999998,0.2468,0.0960000000000001,0.5045,1.6842,7.1,8,"Catch_like",0.000245181,0.000245175,7.1,8,"Length_like",0.880000000000109,0.3185,0.667500000000004,1.27749999999999,0.9117,0.215800000000002,0.658499999999997,0.284400000000005,0.519999999999982
7.2,1.64999999999986,0.107500000000002,1.5300000000002,0.140000000000015,7.2,9,"Surv_like",0.140000000000015,0.0754000000000019,0.431899999999999,0.540799999999997,0.200500000000005,0.1774,0.608400000000003,1.5165,7.2,9,"Catch_like",0.00015635,0.000156346,7.2,9,"Length_like",1.5300000000002,0.471000000000004,0.953000000000003,1.3505,0.8337,0.2453,0.436799999999998,0.169700000000006,1.03499999999985
7.3,2.23000000000002,0.186600000000002,2.0300000000002,0.135999999999996,7.3,10,"Surv_like",0.135999999999996,0.106999999999999,0.531500000000001,0.499299999999998,0.0770000000000053,0.268800000000001,0.699300000000001,1.367,7.3,10,"Catch_like",9.1078e-05,9.1076e-05,7.3,10,"Length_like",2.0300000000002,0.724500000000006,1.16300000000001,1.40649999999999,0.304600000000001,0.261649999999999,0.24335,0.102300000000007,1.79999999999995
7.4,2.86999999999989,0.220800000000001,2.58000000000015,0.198000000000008,7.4,11,"Surv_like",0.198000000000008,0.132000000000001,0.609200000000001,0.467099999999999,0.0341000000000022,0.328200000000001,0.767500000000005,1.2734,7.4,11,"Catch_like",3.989e-05,3.9889e-05,7.4,11,"Length_like",2.58000000000015,0.837500000000006,1.33450000000001,1.446,0.128450000000001,0.265550000000001,0.102849999999997,0.0477000000000061,2.38499999999999
7.5,3.52999999999997,0.254999999999999,3.1400000000001,0.25800000000001,7.5,12,"Surv_like",0.25800000000001,0.1525,0.680499999999995,0.439,0,0.382100000000001,0.823800000000006,1.1926,7.5,12,"Catch_like",0,0,7.5,12,"Length_like",3.1400000000001,0.932999999999993,1.48100000000001,1.476,0,0.26595,0,0,2.95499999999993
