"SR_LN.R0.","TOTAL","Length_comp","Recruitment","Survey","SR_LN.R0..1","model","Label","ALL","S1_JPN_WCNPO_OSDWLL_early_Area1","S2_JPN_WCNPO_OSDWCOLL_late_Area1","S3_JPN_WCNPO_OSDWLL_early_Area2","S4_JPN_WCNPO_OSDWLL_late_Area2","S5_TWN_WCNPO_DWLL_late","S6_US_WCNPO_LL_deep","S8_US_WCNPO_LL_shallow_late","SR_LN.R0..2","model.1","Label.1","ALL.1","F9_US_WCNPO_LL_deep","SR_LN.R0..3","model.2","Label.2","ALL.2","F1_JPN_WCNPO_OSDWCOLL_late_Area1","F2_TWN_WCNPO_DWLL_late","F4_IATTC","F6_JPN_WCNPO_OSDWLL_early_Area1","F7_JPN_WCNPO_CODF","F8_US_WCNPO_LL_shallow_early","F9_US_WCNPO_LL_deep.1"
6.2,403.07,267.61,113.5925,21.957,6.2,2,"Surv_like",21.957,4.3971,5.1438,1.7301,2.99740000000001,4.2448,7.7725,0,6.2,2,"Catch_like",0,0,6.2,2,"Length_like",267.61,5.05350000000001,15.504,2.86675,27.3351,3.80175,6.91705,211.745
6.3,158.98,56.8700000000001,82.1409,19.759,6.3,3,"Surv_like",19.759,4.6802,5.3142,1.4649,2.01730000000001,3.2633,6.6312,0.685000000000002,6.3,3,"Catch_like",0.3107709091991,0.3107709899631,6.3,3,"Length_like",56.8700000000001,8.76150000000001,12.623,2.7496,20.9021,2.8266,7.39055,6.25
6.4,109.52,38.2900000000002,56.8278,14.139,6.4,4,"Surv_like",14.139,3.0268,3.2677,0.6937,1.6123,3.0996,6.0199,0.8127,6.4,4,"Catch_like",0.3675739091991,0.3675739899631,6.4,4,"Length_like",38.2900000000002,0.390999999999991,12.6315,2.69125,14.6793,2.86745,3.2484,6.39499999999998
6.5,71.5699999999999,25.0900000000001,32.0947,14.284,6.5,5,"Surv_like",14.284,5.101,2.9552,0.682299999999998,1.41240000000001,2.9321,4.6069,0.996000000000002,6.5,5,"Catch_like",0.2063519091991,0.2063519899631,6.5,5,"Length_like",25.0900000000001,0.271999999999991,11.5395,2.5759,3.7812,2.58525,2.6325,6.34999999999991
6.6,36.4100000000001,16.52,12.1054,7.61100000000002,6.6,6,"Surv_like",7.61100000000002,1.8282,2.1863,0.152099999999997,1.1889,2.4098,2.7738,1.4976,6.6,6,"Catch_like",0.2840379091991,0.2840379899631,6.6,6,"Length_like",16.52,0.0254999999999939,9.15700000000001,2.25225,0.909700000000001,2.0303,1.9353,4.86500000000001
6.7,13.29,8.15000000000009,2.6101,2.245,6.7,7,"Surv_like",2.245,0.549800000000001,0.798400000000001,0,0.803400000000003,1.3584,0.477700000000006,2.7207,6.7,7,"Catch_like",0.3947299091991,0.3947299899631,6.7,7,"Length_like",8.15000000000009,0.0405000000000086,5.0595,1.8519,0.0694499999999998,1.5065,1.38805,2.80999999999995
6.8,3.26999999999998,1.88000000000011,0.6387,0.719999999999999,6.8,8,"Surv_like",0.719999999999999,0.0919999999999987,0.264699999999998,0.3553,0.663200000000003,0.6227,0,3.2026,6.8,8,"Catch_like",0.1587949091991,0.1587939899631,6.8,8,"Length_like",1.88000000000011,0,1.32650000000001,1.5914,0,1.3152,1.0252,0.714999999999918
6.9,0.25,0.0800000000001546,0.0767999999999986,0.117000000000019,6.9,9,"Surv_like",0.117000000000019,0.00250000000000128,0,0.548499999999997,0.519200000000005,0.115400000000001,0.126300000000001,3.2951,6.9,9,"Catch_like",0.0926724091991,0.0926723899631,6.9,9,"Length_like",0.0800000000001546,0.225999999999999,0,1.4744,0.103200000000001,1.1993,0.7806,0.084999999999809
6.95614,0,0,0.0332000000000008,0.0800000000000125,6.95614,1,"Surv_like",0.0800000000000125,0,0.200699999999998,0.577099999999998,0.461400000000005,0.0494000000000003,0.3003,2.9854,6.95614,1,"Catch_like",0.0100588091991,0.0100588899631,6.95614,1,"Length_like",0,0.108000000000004,0.126000000000005,1.40225,0.148050000000001,1.1113,0.672199999999997,0
7,0.149999999999864,0.2800000000002,0,0,7,10,"Surv_like",0,0.00600000000000023,0.218599999999995,0.586799999999997,0.415400000000005,0,0.372900000000001,2.8975,7,10,"Catch_like",0.0018257991991,0.0018258699631,7,10,"Length_like",0.2800000000002,0.182000000000016,0.317999999999998,1.33935,0.175000000000001,1.0448,0.598050000000001,0.1099999999999
