"SR_LN.R0.","TOTAL","Recruitment","Length_comp","Survey","SR_LN.R0..1","model","Label","ALL","S1_JPN_WCNPO_OSDWLL_early_Area1","S2_JPN_WCNPO_OSDWCOLL_late_Area1","S3_JPN_WCNPO_OSDWLL_early_Area2","S4_JPN_WCNPO_OSDWLL_late_Area2","S5_TWN_WCNPO_DWLL_late","S6_US_WCNPO_LL_deep","S7_US_WCNPO_LL_shallow_early","S8_US_WCNPO_LL_shallow_late","SR_LN.R0..2","model.1","Label.1","ALL.1","F9_US_WCNPO_LL_deep","SR_LN.R0..3","model.2","Label.2","ALL.2","F1_JPN_WCNPO_OSDWCOLL_late_Area1","F2_TWN_WCNPO_DWLL_late","F4_IATTC","F6_JPN_WCNPO_OSDWLL_early_Area1","F8_US_WCNPO_LL_shallow_early","F9_US_WCNPO_LL_deep.1"
6.2,184.99,92.9397,72.1100000000001,20.474,6.2,2,"Surv_like",20.474,4.5446,3.4276,1.4622,2.4174,3.2729,8.9667,0.261089999999999,0,6.2,2,"Catch_like",0.0001014472,0.0001013211,6.2,2,"Length_like",72.1100000000001,4.66,5.92349999999999,2.8955,19.7885,5.14015,35.3999999999999
6.3,117.95,67.2598,37.1800000000001,14,6.3,3,"Surv_like",14,2.3605,2.5718,2.0139,1.7409,2.6885,5.7707,0.208939999999998,0.523499999999999,6.3,3,"Catch_like",0.0561883142,0.0561882151,6.3,3,"Length_like",37.1800000000001,1.48950000000002,5.7975,2.7162,16.5948,2.9508,9.55499999999984
6.4,81.4300000000001,39.5395,30.9400000000001,11.461,6.4,4,"Surv_like",11.461,2.3815,2.2113,1.4021,1.4768,2.3864,4.5154,0.176819999999999,0.789200000000001,6.4,4,"Catch_like",0.0374753142,0.0374752151,6.4,4,"Length_like",30.9400000000001,1.3715,5.28749999999999,2.5085,10.2682,4.2392,9.25
6.5,47.8099999999999,17.22485,22.6400000000001,8.45400000000001,6.5,5,"Surv_like",8.45400000000001,1.8242,1.8037,0.6707,1.3882,2.0959,3.32,0.162239999999999,1.0674,6.5,5,"Catch_like",0.0386810142,0.0386809151,6.5,5,"Length_like",22.6400000000001,1.0675,4.432,2.2369,4.358,3.9978,8.57999999999993
6.6,18.6600000000001,4.3011,11.5,3.399,6.6,6,"Surv_like",3.399,0.8447,0.995899999999999,0,1.0268,1.4563,1.19909999999999,0.11347,1.6417,6.6,6,"Catch_like",0.0056615142,0.0056614351,6.6,6,"Length_like",11.5,0.725999999999999,2.33399999999999,1.69515,0.3491,1.7601,6.66499999999996
6.7,6.05999999999995,0.939499999999999,5.48000000000002,0.205999999999989,6.7,7,"Surv_like",0.205999999999989,0.1067,0.181100000000001,0.353199999999998,0.710500000000003,0.256600000000001,0,0.0573699999999988,2.4188,6.7,7,"Catch_like",0.0004476192,0.0004475671,6.7,7,"Length_like",5.48000000000002,0.364500000000021,0.502499999999998,1.30305,0,1.3065,3.77999999999997
6.8,2.09999999999991,0.142400000000002,2.51999999999998,0,6.8,8,"Surv_like",0,0,0,0.616599999999998,0.631999999999998,0,0.090999999999994,0.0323399999999996,2.5069,6.8,8,"Catch_like",0.0003088982,0.0003088691,6.8,8,"Length_like",2.51999999999998,0.126000000000005,0.1905,1.1764,0.121649999999999,0.973399999999998,1.6099999999999
6.9,0.599999999999909,0.000700000000001921,0.930000000000064,0.230999999999995,6.9,9,"Surv_like",0.230999999999995,0.029399999999999,0.0626999999999995,0.674999999999997,0.570300000000003,0.139200000000001,0.299399999999999,0.0179599999999986,2.3153,6.9,9,"Catch_like",0.0002211222,0.0002211031,6.9,9,"Length_like",0.930000000000064,0,0.0300000000000011,1.1197,0.220300000000002,0.738050000000001,0.504999999999882
7,0.0699999999999363,0,0.25,0.390999999999991,7,10,"Surv_like",0.390999999999991,0.0781999999999989,0.152299999999997,0.6722,0.500799999999998,0.265499999999999,0.469999999999999,0.00937999999999839,2.1218,7,10,"Catch_like",0.0001626922,0.0001626801,7,10,"Length_like",0.25,0.00249999999999773,0,1.06055,0.291,0.564799999999998,0.0749999999998181
7.1,0,0.0544000000000011,0,0.509999999999991,7.1,11,"Surv_like",0.509999999999991,0.119399999999999,0.2545,0.645499999999998,0.436799999999998,0.377800000000001,0.607199999999999,0.00398999999999994,1.9433,7.1,11,"Catch_like",0.0001212972,0.0001212891,7.1,11,"Length_like",0,0.0465000000000089,0.0264999999999986,0.997150000000001,0.342200000000002,0.432099999999998,0
7.2,0.139999999999873,0.1082,0.00999999999999091,0.585000000000008,7.2,12,"Surv_like",0.585000000000008,0.154600000000002,0.368699999999997,0.6023,0.348700000000001,0.4733,0.7196,0.00209999999999866,1.7941,7.2,12,"Catch_like",9.10522e-05,9.10461e-05,7.2,12,"Length_like",0.00999999999999091,0.0875000000000057,0.0704999999999956,0.94135,0.364900000000002,0.346550000000001,0.159999999999854
7.25675,0.529999999999973,0.178900000000002,0.350000000000136,0.568999999999988,7.25675,1,"Surv_like",0.568999999999988,0.174600000000002,0.441600000000001,0.571399999999997,0.229199999999999,0.5481,0.788799999999995,0.000239999999999796,1.6932,7.25675,1,"Catch_like",7.76967e-05,7.7692e-05,7.25675,1,"Length_like",0.350000000000136,0.210000000000008,0.0829999999999984,0.875450000000001,0.37575,0.313549999999999,0.509999999999991
7.3,0.539999999999964,0.1935,0.309999999999945,0.602000000000004,7.3,13,"Surv_like",0.602000000000004,0.1904,0.4833,0.557599999999997,0.203200000000002,0.5762,0.8232,7.99999999987477e-05,1.6463,7.3,13,"Catch_like",6.84667e-05,6.84626e-05,7.3,13,"Length_like",0.309999999999945,0.212500000000006,0.103499999999997,0.769649999999999,0.3795,0.284599999999998,0.619999999999891
7.4,0.649999999999864,0.225000000000001,0.320000000000164,0.677999999999997,7.4,14,"Surv_like",0.677999999999997,0.223800000000001,0.572899999999997,0.528399999999998,0.154899999999998,0.635300000000001,0.8919,0,1.5492,7.4,14,"Catch_like",5.06518e-05,5.06488e-05,7.4,14,"Length_like",0.320000000000164,0.21350000000001,0.147499999999994,0.572600000000001,0.385550000000002,0.22475,0.909999999999854
7.5,0.839999999999918,0.2544,0.400000000000091,0.751000000000005,7.5,15,"Surv_like",0.751000000000005,0.253299999999999,0.654199999999996,0.502699999999997,0.116799999999998,0.687799999999999,0.948799999999999,0.000199999999999534,1.4656,7.5,15,"Catch_like",3.67306e-05,3.67285e-05,7.5,15,"Length_like",0.400000000000091,0.212500000000006,0.185000000000002,0.422249999999998,0.389300000000002,0.173549999999999,1.22499999999991
7.6,1.07999999999993,0.2818,0.539999999999964,0.819999999999993,7.6,16,"Surv_like",0.819999999999993,0.279499999999999,0.728299999999997,0.4802,0.0853999999999999,0.7349,0.9968,0.000619999999999621,1.3925,7.6,16,"Catch_like",2.57522e-05,2.57508e-05,7.6,16,"Length_like",0.539999999999964,0.20950000000002,0.216999999999999,0.303799999999999,0.391550000000002,0.129400000000004,1.54999999999995
7.7,1.32999999999993,0.307400000000001,0.700000000000045,0.881,7.7,17,"Surv_like",0.881,0.302700000000002,0.7956,0.460099999999997,0.0568999999999988,0.7781,1.0374,0.00116999999999834,1.3279,7.7,17,"Catch_like",1.70381e-05,1.70371e-05,7.7,17,"Length_like",0.700000000000045,0.208500000000015,0.24499999999999,0.201599999999999,0.392749999999999,0.0904500000000041,1.875
