"SR_LN.R0.","TOTAL","Recruitment","Length_comp","Survey","SR_LN.R0..1","model","Label","ALL","S1_JPN_WCNPO_OSDWLL_early_Area1","S2_JPN_WCNPO_OSDWCOLL_late_Area1","S3_JPN_WCNPO_OSDWLL_early_Area2","S4_JPN_WCNPO_OSDWLL_late_Area2","S6_US_WCNPO_LL_deep","SR_LN.R0..2","model.1","Label.1","ALL.1","F1_JPN_WCNPO_OSDWCOLL_late_Area1","F3_US_WCNPO_LL_shallow_late","F5_JPN_EPO_OSDWLL","F6_JPN_WCNPO_OSDWLL_early_Area1","F8_US_WCNPO_LL_shallow_early","F9_US_WCNPO_LL_deep","F17_JPN_WCNPO_OSDWLL_early_Area2","F18_JPN_WCNPO_OSDWLL_late_Area2","SR_LN.R0..3","model.2","Label.2","ALL.2","F1_JPN_WCNPO_OSDWCOLL_late_Area1.1","F2_TWN_WCNPO_DWLL_late","F3_US_WCNPO_LL_shallow_late.1","F4_IATTC","F6_JPN_WCNPO_OSDWLL_early_Area1.1","F7_JPN_WCNPO_CODF","F8_US_WCNPO_LL_shallow_early.1"
6.2,192.239,117.7332,50.84,23.932,6.2,2,"Surv_like",23.932,3.042,8.8257,0.6586,3.6951,9.1827,6.2,2,"Catch_like",6.888135e-08,1.0933933e-08,6.680417e-09,1.3097867e-08,3.791966e-09,2.0862043e-09,1.1150063e-08,6.781424e-09,1.4277313e-08,6.2,2,"Length_like",50.84,2.65199999999999,14.234,0,2.1057,27.9445,2.30715,6.94485
6.3,150.362,91.212,36.821,22.593,6.3,3,"Surv_like",22.593,3.1572,8.8271,1.0737,3.0286,8.0285,6.3,3,"Catch_like",6.254345e-08,1.1055633e-08,6.520617e-09,1.1214367e-08,2.190216e-09,1.8142643e-09,9.949563e-09,5.910994e-09,1.3812813e-08,6.3,3,"Length_like",36.821,5.86799999999999,13.5805,0.096500000000006,2.0154,14.20445,2.19975,4.205
6.4,108.38,63.2115,27.41,18.026,6.4,4,"Surv_like",18.026,3.357,7.3648,0.0187999999999988,2.5795,6.1903,6.4,4,"Catch_like",6.142535e-08,1.0321533e-08,6.043557e-09,1.1978267e-08,2.893776e-09,1.7137543e-09,9.229503e-09,6.297914e-09,1.2873613e-08,6.4,4,"Length_like",27.41,1.453,12.101,0.144000000000005,1.88795,11.8336,2.03715,3.30185
6.5,86.285,34.83016,29.772,21.953,6.5,5,"Surv_like",21.953,1.3716,15.1251,0.8096,2.50259999999999,3.547,6.5,5,"Catch_like",5.336895e-08,8.246553e-09,4.971007e-09,1.0015167e-08,2.544226e-09,2.0649443e-09,9.408893e-09,4.928844e-09,1.1132813e-08,6.5,5,"Length_like",29.772,9.845,8.148,0.38600000000001,1.56095,7.27405,1.63815,6.2684
6.6,32.051,13.3123,10.179,8.83600000000001,6.6,6,"Surv_like",8.83600000000001,2.3034,4.7034,0,1.2709,2.1067,6.6,6,"Catch_like",5.437555e-08,8.857603e-09,5.017297e-09,1.0729467e-08,3.100436e-09,1.6743343e-09,8.506243e-09,5.535554e-09,1.0894113e-08,6.6,6,"Length_like",10.179,0,8.49550000000001,0.4405,1.529,2.18315,1.60995,1.2694
6.7,8.02699999999999,2.5492,3.44599999999997,2.31,6.7,7,"Surv_like",2.31,0.7028,2.5272,0.282799999999998,0.319899999999997,0.035499999999999,6.7,7,"Catch_like",4.575495e-08,7.268853e-09,3.942527e-09,9.864937e-09,2.727256e-09,1.3721843e-09,6.789943e-09,5.144374e-09,8.597933e-09,6.7,7,"Length_like",3.44599999999997,0.0459999999999923,4.56700000000001,0.963000000000008,1.1325,0.0551500000000011,1.2066,0.823699999999995
6.8,0.420999999999992,0.458500000000001,0.254999999999995,0,6.8,8,"Surv_like",0,0.0432999999999986,0.614600000000003,0.892399999999999,0,0,6.8,8,"Catch_like",3.283695e-08,4.910813e-09,2.500997e-09,7.933717e-09,2.422276e-09,9.261473e-10,4.462193e-09,4.170604e-09,5.483313e-09,6.8,8,"Length_like",0.254999999999995,0.869499999999988,0.617999999999995,1.876,0.653600000000001,0,1.0274,0.559199999999997
6.84174,0,0.215199999999999,0,0.0800000000000125,6.84174,1,"Surv_like",0.0800000000000125,0.00179999999999936,0.355400000000003,1.0077,0.0512999999999977,0.2136,6.84174,1,"Catch_like",2.746245e-08,4.113553e-09,2.045667e-09,6.547017e-09,2.163476e-09,7.796463e-10,3.727383e-09,3.567174e-09,4.497973e-09,6.84174,1,"Length_like",0,1.04300000000001,0,2.1755,0.549050000000001,0.0834499999999991,1.01130000000001,0.486599999999996
6.9,0.545000000000016,0.0652000000000008,0.541999999999973,0.236999999999995,6.9,9,"Surv_like",0.236999999999995,0,0.154499999999999,1.0727,0.110499999999995,0.450200000000002,6.9,9,"Catch_like",2.067205e-08,3.251273e-09,1.579717e-09,4.131667e-09,1.808996e-09,6.200773e-10,2.944133e-09,2.839044e-09,3.482873e-09,6.9,9,"Length_like",0.541999999999973,1.28049999999999,0.0550000000000068,2.498,0.467449999999999,0.1967,0.986800000000002,0.405499999999996
7,2.964,0,2.77999999999997,0.483000000000004,7,10,"Surv_like",0.483000000000004,0.0438999999999972,0.0165000000000006,1.0763,0.189899999999994,0.711500000000001,7,10,"Catch_like",1.343775e-08,2.229013e-09,1.055357e-09,2.109397e-09,1.314016e-09,4.291653e-10,2.021843e-09,1.936004e-09,2.334443e-09,7,10,"Length_like",2.77999999999997,1.66900000000001,1.6335,2.8925,0.352900000000002,0.359349999999999,0.922700000000006,0.2986
