"SR_LN.R0.","TOTAL","Recruitment","Length_comp","Survey","SR_LN.R0..1","model","Label","ALL","S1_JPN_WCNPO_OSDWLL_early_Area1","S2_JPN_WCNPO_OSDWCOLL_late_Area1","S3_JPN_WCNPO_OSDWLL_early_Area2","S4_JPN_WCNPO_OSDWLL_late_Area2","S6_US_WCNPO_LL_deep","SR_LN.R0..2","model.1","Label.1","ALL.1","F1_JPN_WCNPO_OSDWCOLL_late_Area1","F3_US_WCNPO_LL_shallow_late","F5_JPN_EPO_OSDWLL","F6_JPN_WCNPO_OSDWLL_early_Area1","F8_US_WCNPO_LL_shallow_early","F9_US_WCNPO_LL_deep","F17_JPN_WCNPO_OSDWLL_early_Area2","F18_JPN_WCNPO_OSDWLL_late_Area2","SR_LN.R0..3","model.2","Label.2","ALL.2","F1_JPN_WCNPO_OSDWCOLL_late_Area1.1","F2_TWN_WCNPO_DWLL_late","F3_US_WCNPO_LL_shallow_late.1","F4_IATTC","F6_JPN_WCNPO_OSDWLL_early_Area1.1","F7_JPN_WCNPO_CODF","F8_US_WCNPO_LL_shallow_early.1"
6.3,160.213,84.7106,47.119,29.259,6.3,2,"Surv_like",29.259,4.3733,13.1666,1.3569,3.7301,7.719,6.3,2,"Catch_like",7.298468e-08,1.1429948e-08,7.991056e-09,1.2211081e-08,2.002933e-09,2.667801e-09,1.3042834e-08,6.174327e-09,1.7351356e-08,6.3,2,"Length_like",47.119,9.55500000000001,13.6835,0,2.60845,17.08785,3.2826,6.20950000000001
6.4,100.794,56.5794,28.851,16.24,6.4,3,"Surv_like",16.24,2.7005,6.0951,0.277699999999999,2.8752,5.5459,6.4,3,"Catch_like",6.976728e-08,1.1992748e-08,7.754556e-09,1.1416181e-08,1.913823e-09,2.267071e-09,1.1957534e-08,5.932077e-09,1.6422356e-08,6.4,3,"Length_like",28.851,0,13.2755,0.0625,2.4959,11.3712,3.21705,3.73670000000001
6.5,84.126,30.82291,32.915,21.267,6.5,4,"Surv_like",21.267,2.7311,14.305,0,2.4529,2.9536,6.5,4,"Catch_like",5.564448e-08,8.673378e-09,5.553496e-09,9.943781e-09,2.745273e-09,2.056321e-09,9.537034e-09,4.887957e-09,1.2176956e-08,6.5,4,"Length_like",32.915,11.9875,9.56400000000001,0.0524999999999949,1.77805,5.4576,1.88285,7.50025
6.6,28.954,10.4856,11.779,7.57599999999999,6.6,5,"Surv_like",7.57599999999999,1.7551,3.8597,0.280199999999997,1.4461,1.5431,6.6,5,"Catch_like",5.518448e-08,9.681248e-09,5.794906e-09,9.003471e-09,2.450643e-09,1.847011e-09,9.391034e-09,4.517787e-09,1.2424456e-08,6.6,5,"Length_like",11.779,0.132000000000005,9.905,0.143000000000001,1.8143,1.71045,2.01465,1.36745000000001
6.7,8.54600000000005,3.0719,3.98400000000004,2.37899999999999,6.7,6,"Surv_like",2.37899999999999,0.818200000000001,1.8504,0.2941,0.727800000000002,0,6.7,6,"Catch_like",4.026348e-08,6.984288e-09,3.857226e-09,7.291911e-09,2.140563e-09,1.332571e-09,6.581984e-09,3.699317e-09,8.332946e-09,6.7,6,"Length_like",3.98400000000004,0.0655000000000143,5.45350000000001,0.663499999999999,1.0769,0,1.09975,0.932700000000004
6.8,1.58700000000005,1.4529,0.420000000000016,0.61099999999999,6.8,7,"Surv_like",0.61099999999999,0.226700000000001,0.649000000000001,0.376199999999997,0.544499999999999,0.121099999999998,6.8,7,"Catch_like",2.604128e-08,4.417848e-09,2.267406e-09,5.134941e-09,1.686393e-09,8.47854e-10,4.099294e-09,2.634637e-09,4.933316e-09,6.8,7,"Length_like",0.420000000000016,0.611000000000018,1.5305,1.468,0.543949999999999,0.00805000000000078,0.934350000000002,0.63185
6.9,0.0290000000000532,0.782699999999998,0,0.146999999999991,6.9,8,"Surv_like",0.146999999999991,0.0625,0.164499999999997,0.372799999999998,0.437100000000001,0.422800000000002,6.9,8,"Catch_like",1.611338e-08,2.848638e-09,1.410696e-09,2.551151e-09,1.240263e-09,5.43818e-10,2.629614e-09,1.809697e-09,3.069216e-09,6.9,8,"Length_like",0,1.34700000000001,0.0750000000000028,2.08,0.390750000000001,0.146049999999999,0.844650000000001,0.424850000000006
6.91862,0,0.699400000000001,0.105000000000018,0.0970000000000084,6.91862,1,"Surv_like",0.0970000000000084,0.0473999999999997,0.0991,0.3706,0.4236,0.469900000000003,6.91862,1,"Catch_like",1.478568e-08,2.632558e-09,1.298066e-09,2.235711e-09,1.167703e-09,5.02187e-10,2.428924e-09,1.687227e-09,2.824046e-09,6.91862,1,"Length_like",0.105000000000018,1.4795,0,2.17,0.369499999999999,0.1708,0.828200000000002,0.394450000000006
7,0.353000000000009,0.452100000000002,0.80400000000003,0,7,9,"Surv_like",0,0.0129000000000019,0,0.346699999999998,0.3566,0.603999999999999,7,9,"Catch_like",1.025578e-08,1.866248e-09,9.06816e-10,1.307931e-09,8.85783e-10,3.54727e-10,1.720294e-09,1.236177e-09,1.971786e-09,7,9,"Length_like",0.80400000000003,1.93600000000001,0.107500000000002,2.49249999999999,0.282450000000001,0.269200000000001,0.746350000000007,0.277200000000001
7.1,0.938000000000045,0.274799999999999,1.56100000000004,0.00499999999999545,7.1,10,"Surv_like",0.00499999999999545,0,0.1081,0.302999999999997,0.242400000000004,0.676899999999996,7.1,10,"Catch_like",6.54158e-09,1.217928e-09,5.83113e-10,7.09096e-10,6.00416e-10,2.29465e-10,1.120724e-09,8.12997e-10,1.264126e-09,7.1,10,"Length_like",1.56100000000004,2.32350000000002,0.408500000000004,2.78099999999999,0.193899999999999,0.3629,0.606500000000004,0.192300000000003
